[micron],Mean
0,43496.594
1,43541.410
2,43601.941
3,43639.203
4,43632.391
5,43574.648
6,43601.164
7,43622.469
8,43654.035
9,43628.859
10,43635.086
11,43629.461
12,43594.496
13,43534.727
14,43508.586
15,43516.066
16,43517.312
17,43527.168
18,43494.320
19,43467.289
20,43460.488
21,43486.586
22,43500.500
23,43480.414
24,43458.660
25,43448.426
26,43392.305
27,43368.465
28,43338.527
29,43316.465
30,43326.105
31,43347.434
32,43391.285
33,43370.738
34,43398.602
35,43440.500
36,43494.133
37,43530.641
38,43549.477
39,43499.848
40,43506.164
41,43486.324
42,43469.734
43,43440.887
44,43453.215
45,43394.852
46,43394.566
47,43338.160
48,43375.891
49,43379.680
50,43413.426
51,43415.879
52,43404.508
53,43393.414
54,43408.871
55,43372.547
56,43375.766
57,43437.754
58,43512.809
59,43605.016
60,43574.852
61,43623.555
62,43609.785
63,43617.062
64,43559.668
65,43551.164
66,43560.242
67,43566.891
68,43490.086
69,43408.668
70,43349.879
71,43309.289
72,43335.430
73,43339.934
74,43455.770
75,43521.375
76,43561.738
77,43461.699
78,43413.414
79,43406.801
80,43363.680
81,43380.559
82,43362.742
83,43390.844
84,43428.355
85,43504.266
86,43577.305
87,43584.094
88,43560.938
89,43511.500
90,43475.910
91,43414.555
92,43435.684
93,43422.730
94,43470.008
95,43439.605
96,43483.832
97,43527.582
98,43555.617
99,43545.574
100,43533.691
101,43447.445
102,43424.242
103,43442.461
104,43466.250
105,43403.996
106,43373.883
107,43317.238
108,43263.266
109,43242.910
110,43203.055
111,43188.902
112,43175.082
113,43221.363
114,43241.848
115,43238.520
116,43231.406
117,43288.918
118,43297.031
119,43349.016
120,43338.316
121,43345.562
122,43292.113
123,43248.922
124,43175.145
125,43136.949
126,43203.465
127,43220.242
128,43224.449
129,43231.406
130,43273.445
131,43339.184
132,43315.797
133,43306.684
134,43266.793
135,43291.406
136,43336.422
137,43380.953
138,43532.301
139,43563.531
140,43625.469
141,43571.227
142,43518.961
143,43480.137
144,43487.570
145,43522.242
146,43539.504
147,43549.312
148,43522.539
149,43565.109
150,43569.277
151,43595.234
152,43524.246
153,43554.871
154,43559.414
155,43563.332
156,43530.422
157,43498.617
158,43490.109
159,43491.168
160,43516.547
161,43501.434
162,43521.480
163,43529.387
164,43515.191
165,43471.141
166,43364.148
167,43313.723
168,43267.445
169,43306.977
170,43262.762
171,43278.930
172,43268.625
173,43277.262
174,43230.262
175,43183.336
176,43161.238
177,43157.543
178,43208.219
179,43205.902
180,43183.836
181,43198.309
182,43207.902
183,43336.645
184,43392.289
185,43444.754
186,43469.531
187,43507.516
188,43565.578
189,43486.090
190,43496.578
191,43467.281
192,43549.746
193,43484.188
194,43524.879
195,43502.617
196,43510.516
197,43440.828
198,43448.309
199,43487.652
200,43583.816
201,43633.027
202,43611.746
203,43565.727
204,43466.031
205,43411.473
206,43437.695
207,43405.773
208,43461.223
209,43383.273
210,43387.152
211,43369.781
212,43312.160
213,43314.820
214,43272.895
215,43352.348
216,43333.410
217,43399.340
218,43378.246
219,43415.773
220,43389.582
221,43384.766
222,43442.223
223,43438.371
224,43509.914
225,43474.824
226,43533.547
227,43449.621
228,43450.355
229,43386.379
230,43362.270
231,43347.652
232,43282.039
233,43288.363
234,43263.289
235,43305.949
236,43205.457
237,43191.703
238,43210.457
239,43237.078
240,43331.492
241,43337.762
242,43384.109
243,43402.051
244,43415.652
245,43537.848
246,43544.008
247,43650.164
248,43586.301
249,43660.332
250,43523.238
251,43495.906
252,43420.738
253,43517.086
254,43521.484
255,43529.020
256,43525.570
257,43491.629
258,43588.836
259,43524.129
260,43574.121
261,43481.207
262,43538.398
263,43478.051
264,43488.863
265,43474.535
266,43456.238
267,43477.625
268,43444.035
269,43463.004
270,43426.898
271,43421.395
272,43435.215
273,43496.707
274,43546.434
275,43516.582
276,43502.098
277,43425.652
278,43505.938
279,43524.422
280,43557.504
281,43507.125
282,43455.605
283,43476.594
284,43397.234
285,43373.719
286,43305.617
287,43324.453
288,43322.609
289,43270.688
290,43286.406
291,43272.414
292,43344.492
293,43295.801
294,43285.297
295,43299.855
296,43353.871
297,43373.160
298,43387.387
299,43476.758
300,43578.609
301,43678.797
302,43671.598
303,43688.445
304,43620.957
305,43558.508
306,43533.543
307,43485.086
308,43514.508
309,43522.062
310,43788.934
311,43881.316
312,43931.688
313,43736.160
314,43646.371
315,43542.012
316,43529.461
317,43521.949
318,43541.617
319,43549.344
320,43559.301
321,43531.168
322,43567.609
323,43586.441
324,43639.848
325,43604.172
326,43598.320
327,43557.586
328,43575.070
329,43542.469
330,43673.910
331,43743.652
332,43765.832
333,43654.898
334,43523.977
335,43518.109
336,43488.191
337,43652.172
338,43659.129
339,43681.582
340,43601.863
341,43597.938
342,43654.820
343,43578.492
344,43571.895
345,43618.465
346,43773.559
347,43805.191
348,43750.074
349,43764.695
350,43707.348
351,43717.707
352,43576.629
353,43616.531
354,43546.902
355,43577.688
356,43482.371
357,43626.301
358,43731.910
359,43806.699
360,43758.938
361,43639.887
362,43629.020
363,43580.129
364,43593.855
365,43545.387
366,43528.258
367,43516.133
368,43466.621
369,43464.812
370,43396.566
371,43457.906
372,43449.285
373,43504.266
374,43522.305
375,43485.695
376,43615.211
377,43672.438
378,43813.301
379,43684.160
380,43748.816
381,43727.867
382,43781.387
383,43707.559
384,43647.512
385,43623.867
386,43601.121
387,43592.957
388,43526.086
389,43573.973
390,43583.105
391,43692.270
392,43640.316
393,43662.363
394,43556.496
395,43763.434
396,43880.469
397,43962.699
398,43856.305
399,43800.434
400,43843.391
401,43867.562
402,43840.258
403,43770.156
404,43731.273
405,43759.656
406,43658.402
407,43630.242
408,43564.215
409,43627.426
410,43593.750
411,43589.605
412,43613.242
413,43667.859
414,43835.020
415,43854.238
416,43833.047
417,43688.441
418,43693.449
419,43655.328
420,43621.570
421,43725.699
422,43725.711
423,43803.688
424,43685.230
425,43678.121
426,43693.910
427,43708.660
428,43770.805
429,43715.816
430,43741.668
431,43665.195
432,43735.613
433,43688.664
434,43786.984
435,43713.066
436,43718.266
437,43704.086
438,43662.246
439,43687.637
440,43646.969
441,43694.793
442,43593.941
443,43528.914
444,43490.117
445,43507.039
446,43546.297
447,43567.965
448,43605.844
449,43497.164
450,43587.414
451,43585.523
452,43718.781
453,43723.586
454,43704.867
455,43709.242
456,43633.383
457,43762.504
458,43698.078
459,43873.660
460,43882.320
461,43948.211
462,43765.418
463,43648.652
464,43625.383
465,43642.941
466,43700.785
467,43765.109
468,43887.320
469,44000.738
470,44029.449
471,43996.535
472,43855.121
473,43839.121
474,43808.711
475,43850.875
476,43781.074
477,43766.105
478,43691.996
479,43781.707
480,43814.668
481,43847.723
482,43758.637
483,43728.703
484,43751.965
485,43699.977
486,43686.227
487,43663.930
488,43690.164
489,43662.152
490,43599.828
491,43631.598
492,43711.195
493,43783.012
494,43709.520
495,43669.875
496,43774.586
497,43901.973
498,43972.406
499,43855.574
500,43920.816
501,43918.043
502,43935.863
503,43817.422
504,43769.074
505,43743.316
506,43748.246
507,43735.742
508,43725.734
509,43747.793
510,43781.762
511,43878.688
512,43937.266
513,43965.645
514,43926.676
515,43864.852
516,43996.086
517,44087.789
518,44175.773
519,44054.816
520,44012.828
521,43908.758
522,43825.828
523,43762.809
524,43700.359
525,43742.059
526,43715.730
527,43776.797
528,43747.207
529,43836.500
530,43823.520
531,43864.344
532,43813.363
533,43804.863
534,43756.035
535,43674.598
536,43700.703
537,43749.348
538,44027.305
539,44153.113
540,44268.125
541,44136.043
542,44065.676
543,43990.527
544,43960.785
545,43969.992
546,43934.816
547,44065.223
548,44012.969
549,43979.434
550,43895.809
551,43993.344
552,44070.555
553,44087.082
554,44049.109
555,44004.996
556,44067.324
557,44074.680
558,44099.066
559,44100.234
560,44008.211
561,44006.586
562,43921.047
563,43914.062
564,43816.902
565,43796.184
566,43843.781
567,43994.512
568,44205.992
569,44248.805
570,44211.121
571,44008.289
572,44125.941
573,44107.594
574,44222.168
575,44147.844
576,44130.062
577,44147.277
578,44026.816
579,44014.234
580,43887.441
581,44082.641
582,44159.391
583,44279.676
584,44191.957
585,44253.941
586,44336.254
587,44336.766
588,44293.629
589,44180.621
590,44092.848
591,44010.957
592,44009.305
593,44067.691
594,44054.129
595,44066.848
596,43982.293
597,43977.492
598,43843.742
599,43792.844
600,43724.055
601,43770.910
602,43795.719
603,43824.246
604,43870.988
605,43899.355
606,44010.777
607,43971.352
608,44051.082
609,44025.262
610,44093.043
611,44030.430
612,43971.984
613,43968.523
614,43962.500
615,44101.500
616,44139.238
617,44256.090
618,44198.500
619,44175.562
620,44102.027
621,44057.508
622,44195.691
623,44294.152
624,44384.930
625,44192.031
626,44064.422
627,43981.121
628,43927.598
629,43925.855
630,43883.645
631,44016.594
632,44014.469
633,44115.086
634,43990.207
635,43967.602
636,43954.824
637,43962.656
638,43972.773
639,43858.352
640,43916.969
641,43934.523
642,44084.426
643,44187.809
644,44365.508
645,44444.797
646,44394.027
647,44295.004
648,44154.637
649,44154.004
650,44148.598
651,44224.914
652,44202.289
653,44157.297
654,44089.449
655,44040.285
656,44046.734
657,44062.922
658,44146.109
659,44171.473
660,44122.852
661,44006.918
662,43886.926
663,43855.062
664,43799.086
665,43844.293
666,43750.566
667,44096.160
668,44281.945
669,44542.395
670,44412.504
671,44301.148
672,44223.988
673,44251.121
674,44329.211
675,44262.996
676,44153.520
677,44026.656
678,43997.641
679,44014.438
680,43971.684
681,43949.062
682,43876.461
683,43911.375
684,43857.898
685,43891.895
686,43872.691
687,43870.797
688,43911.363
689,43862.480
690,44006.852
691,43975.504
