[micron],Mean
0,52133.445
1,52183.340
2,52137.992
3,52141.125
4,52146.414
5,52157.469
6,52172.203
7,52238.461
8,52248.023
9,52242.539
10,52248.727
11,52310.184
12,52292.730
13,52212.332
14,52120.352
15,52109.785
16,52093.145
17,52076.797
18,52125.078
19,52091.184
20,52067.289
21,52004.930
22,51986.168
23,51960.531
24,52011.566
25,51970.195
26,51974.789
27,51939.375
28,51941.395
29,51954.414
30,51951.762
31,51984.812
32,51989.402
33,52000.262
34,51931.000
35,51950.312
36,51987.980
37,52000.238
38,51938.375
39,51978.449
40,51958.156
41,51955.344
42,51932.418
43,51892.238
44,51893.109
45,51828.809
46,51732.887
47,51701.488
48,51667.469
49,51666.812
50,51676.227
51,51696.297
52,51726.906
53,51772.609
54,51789.930
55,51831.086
56,51855.191
57,51860.500
58,51880.410
59,51875.910
60,51907.562
61,51955.477
62,51973.617
63,51967.684
64,51925.379
65,51884.676
66,51848.980
67,51808.457
68,51751.723
69,51718.461
70,51785.234
71,51858.406
72,51934.320
73,51886.918
74,51902.484
75,51961.473
76,52017.172
77,52017.508
78,51921.891
79,51862.965
80,51837.379
81,51924.215
82,51988.262
83,52027.746
84,51969.711
85,51942.348
86,51914.977
87,51925.695
88,51853.559
89,51809.305
90,51779.887
91,51742.363
92,51749.637
93,51832.227
94,51921.367
95,51985.656
96,52007.414
97,51965.148
98,51937.020
99,51843.562
100,51801.855
101,51818.570
102,51802.164
103,51810.109
104,51845.473
105,51904.039
106,51886.691
107,51835.141
108,51758.746
109,51732.957
110,51714.016
111,51733.695
112,51733.762
113,51836.441
114,51818.500
115,51853.742
116,51812.836
117,51851.621
118,51878.098
119,51811.664
120,51814.441
121,51816.020
122,51862.801
123,51799.938
124,51797.680
125,51818.934
126,51840.648
127,51842.504
128,51780.402
129,51741.984
130,51742.539
131,51743.164
132,51764.359
133,51786.227
134,51784.934
135,51793.434
136,51801.410
137,51832.250
138,51924.613
139,51958.340
140,52046.746
141,51997.871
142,52002.547
143,51902.273
144,51927.102
145,51948.195
146,52011.840
147,52017.605
148,52016.062
149,52052.262
150,52036.578
151,52019.184
152,51963.762
153,52038.066
154,52143.324
155,52240.469
156,52219.191
157,52112.531
158,52157.828
159,52109.832
160,52118.156
161,52111.289
162,52084.500
163,52097.855
164,52061.270
165,52016.301
166,51950.074
167,51899.691
168,51872.121
169,51856.492
170,51842.051
171,51835.844
172,51831.957
173,51792.551
174,51792.461
175,51752.543
176,51704.023
177,51733.777
178,51779.805
179,51836.156
180,51795.875
181,51852.789
182,51821.539
183,51915.926
184,51901.312
185,51992.254
186,52002.730
187,52039.527
188,52062.594
189,52071.785
190,52102.555
191,52045.730
192,52151.289
193,52277.035
194,52402.129
195,52319.855
196,52175.391
197,52090.066
198,52089.965
199,52136.434
200,52215.383
201,52203.828
202,52241.375
203,52164.332
204,52209.473
205,52169.609
206,52182.617
207,52098.609
208,52095.672
209,52107.789
210,52086.965
211,52048.676
212,52017.773
213,51999.070
214,52008.746
215,52068.969
216,52073.547
217,52035.496
218,51984.121
219,51990.555
220,52023.406
221,51998.199
222,52025.793
223,51997.910
224,52164.164
225,52217.957
226,52274.785
227,52170.531
228,52134.281
229,52097.703
230,52090.109
231,52039.062
232,51942.133
233,51927.660
234,51935.188
235,52012.820
236,52024.934
237,52048.680
238,52033.852
239,52031.688
240,52012.973
241,52025.359
242,52071.078
243,52030.449
244,52043.957
245,52120.477
246,52216.062
247,52378.676
248,52361.113
249,52419.977
250,52297.988
251,52314.230
252,52209.676
253,52214.750
254,52217.051
255,52175.613
256,52186.055
257,52121.629
258,52218.090
259,52201.879
260,52255.352
261,52171.395
262,52148.691
263,52099.973
264,52102.887
265,52148.602
266,52148.816
267,52170.938
268,52223.129
269,52305.637
270,52271.340
271,52205.184
272,52232.590
273,52197.578
274,52203.605
275,52105.438
276,52160.621
277,52141.887
278,52283.691
279,52307.840
280,52388.398
281,52355.410
282,52273.910
283,52239.738
284,52172.164
285,52239.246
286,52231.828
287,52237.703
288,52292.016
289,52313.641
290,52344.691
291,52260.977
292,52229.793
293,52175.270
294,52195.027
295,52255.875
296,52265.711
297,52320.672
298,52298.793
299,52349.184
300,52301.680
301,52341.883
302,52358.168
303,52409.020
304,52386.039
305,52371.324
306,52422.047
307,52373.867
308,52404.047
309,52366.629
310,52515.555
311,52442.121
312,52471.000
313,52328.465
314,52353.566
315,52374.574
316,52375.066
317,52362.098
318,52454.273
319,52602.066
320,52616.039
321,52553.766
322,52661.375
323,52926.059
324,53096.879
325,52974.457
326,52802.020
327,52676.352
328,52609.297
329,52484.863
330,52515.426
331,52557.125
332,52606.062
333,52585.387
334,52481.961
335,52546.453
336,52524.902
337,52638.215
338,52653.969
339,52718.832
340,52603.199
341,52594.102
342,52492.625
343,52534.535
344,52545.980
345,52671.988
346,52663.680
347,52673.543
348,52605.625
349,52625.887
350,52574.918
351,52559.008
352,52525.750
353,52565.500
354,52582.062
355,52581.906
356,52521.961
357,52657.402
358,52810.031
359,52937.102
360,52823.941
361,52685.582
362,52598.910
363,52537.781
364,52451.699
365,52353.660
366,52278.078
367,52287.637
368,52263.383
369,52355.746
370,52375.285
371,52448.332
372,52440.566
373,52426.031
374,52419.535
