[micron],Mean
0,56530.375
1,56582.121
2,56542.328
3,56557.254
4,56600.484
5,56611.949
6,56601.027
7,56586.453
8,56591.305
9,56601.660
10,56630.562
11,56644.332
12,56614.766
13,56563.422
14,56490.629
15,56472.449
16,56480.531
17,56478.172
18,56477.113
19,56418.465
20,56385.027
21,56370.777
22,56367.402
23,56345.152
24,56338.922
25,56262.066
26,56271.531
27,56240.133
28,56247.531
29,56249.348
30,56243.035
31,56248.699
32,56269.270
33,56329.586
34,56313.820
35,56336.227
36,56325.652
37,56328.500
38,56259.207
39,56343.719
40,56314.812
41,56369.188
42,56285.895
43,56306.918
44,56257.422
45,56280.758
46,56189.891
47,56190.027
48,56150.109
49,56146.391
50,56173.117
51,56139.980
52,56179.738
53,56128.836
54,56190.117
55,56233.688
56,56287.926
57,56251.977
58,56251.633
59,56224.660
60,56265.793
61,56247.383
62,56242.074
63,56222.359
64,56250.148
65,56222.062
66,56190.270
67,56136.613
68,56130.332
69,56112.977
70,56114.074
71,56127.355
72,56134.613
73,56127.125
74,56135.090
75,56217.082
76,56276.973
77,56361.527
78,56355.328
79,56277.926
80,56250.910
81,56232.922
82,56291.891
83,56311.887
84,56240.133
85,56199.016
86,56121.754
87,56172.020
88,56111.422
89,56121.039
90,56051.238
91,56064.371
92,56066.738
93,56177.195
94,56186.605
95,56213.906
96,56189.703
97,56181.969
98,56215.129
99,56164.625
100,56119.645
101,56123.688
102,56123.859
103,56111.168
104,56069.828
105,56044.613
106,56055.566
107,56051.590
108,56049.340
109,56008.031
110,56013.613
111,56025.828
112,55989.531
113,56015.980
114,55984.199
115,56011.336
116,55980.484
117,56012.715
118,56055.238
119,56034.547
120,56051.918
121,56082.211
122,56130.570
123,56088.020
124,56074.254
125,56079.723
126,56121.434
127,56168.422
128,56175.250
129,56136.418
130,56058.938
131,56054.184
132,56054.473
133,56106.141
134,56121.211
135,56133.871
136,56157.434
137,56126.793
138,56154.219
139,56164.840
140,56208.535
141,56156.445
142,56168.277
143,56120.973
144,56110.676
145,56118.594
146,56130.895
147,56135.508
148,56113.938
149,56164.262
150,56194.719
151,56257.113
152,56301.617
153,56357.879
154,56405.543
155,56357.082
156,56266.711
157,56167.082
158,56209.250
159,56256.891
160,56290.430
161,56370.805
162,56323.504
163,56333.609
164,56266.008
165,56218.609
166,56144.879
167,56130.586
168,56136.195
169,56103.695
170,56119.160
171,56133.383
172,56185.855
173,56129.852
174,56089.285
175,56028.273
176,55996.082
177,56047.625
178,56043.480
179,56077.793
180,56035.488
181,56099.477
182,56101.949
183,56146.504
184,56178.844
185,56209.078
186,56274.344
187,56249.254
188,56333.152
189,56338.961
190,56398.512
191,56359.406
192,56370.211
193,56425.801
194,56482.109
195,56483.996
196,56444.918
197,56393.066
198,56399.516
199,56386.527
200,56450.457
201,56395.297
202,56406.191
203,56305.320
204,56435.285
205,56475.277
206,56539.809
207,56420.551
208,56347.422
209,56332.875
210,56332.484
211,56391.016
212,56385.793
213,56404.410
214,56385.012
215,56416.039
216,56443.668
217,56430.727
218,56439.184
219,56394.859
220,56421.004
221,56398.473
222,56406.770
223,56399.734
224,56570.242
225,56656.914
226,56687.676
227,56552.613
228,56484.996
229,56442.512
230,56484.141
231,56480.406
232,56401.098
233,56355.785
234,56288.531
235,56360.242
236,56381.141
237,56372.977
238,56369.707
239,56370.941
240,56348.266
241,56352.230
242,56359.969
243,56403.133
244,56393.051
245,56485.078
246,56489.367
247,56577.980
248,56565.617
249,56597.664
250,56587.359
251,56538.453
252,56484.711
253,56471.000
254,56531.969
255,56504.238
256,56497.207
257,56432.074
258,56474.352
259,56459.863
260,56522.312
261,56566.555
262,56569.355
263,56583.137
264,56514.031
265,56536.770
266,56520.312
267,56519.527
268,56556.410
269,56579.207
270,56575.703
271,56518.586
272,56559.199
273,56532.629
274,56593.590
275,56550.266
276,56561.387
277,56502.676
278,56535.000
279,56555.465
280,56708.832
281,56769.582
282,56797.438
283,56693.848
284,56657.316
285,56632.039
286,56629.398
287,56581.125
288,56640.090
289,56678.477
290,56716.852
291,56667.926
292,56646.203
293,56602.832
294,56599.609
295,56636.223
296,56667.332
297,56769.332
298,56760.578
299,56784.789
300,56730.094
301,56731.707
302,56733.016
303,56746.051
304,56699.301
305,56665.691
306,56688.359
307,56693.328
308,56741.273
309,56737.449
310,56831.254
311,56817.766
312,56784.637
313,56698.566
314,56678.531
315,56713.059
316,56751.270
317,56739.605
318,56894.027
319,56988.836
320,57040.969
321,56960.027
322,57074.836
323,57343.148
324,57519.277
325,57421.609
326,57289.176
327,57185.613
328,57164.871
329,57045.723
330,57018.746
331,56978.938
332,56973.352
333,56930.750
334,56872.137
335,56905.797
336,56936.129
337,57021.465
338,57052.297
339,56997.602
340,56892.367
341,56847.941
342,56832.684
343,56863.566
344,56902.000
345,56961.246
346,56948.969
347,56984.059
348,56961.328
349,57024.156
350,56993.355
351,57027.520
352,57020.148
353,57019.766
354,56999.613
355,56960.680
356,56942.637
357,57057.910
358,57296.684
359,57415.668
360,57360.676
361,57200.957
362,57129.660
363,57064.508
364,56959.402
365,56903.324
366,56813.824
367,56842.859
368,56825.430
369,56875.898
370,56914.750
371,56963.809
372,57038.969
373,57013.906
374,56987.930
375,56881.770
376,57060.828
377,57147.402
378,57332.180
379,57296.648
380,57276.859
381,57257.199
382,57160.172
383,57145.695
384,57075.777
385,57049.008
386,56976.285
387,56997.719
388,56961.773
389,57083.367
390,57101.191
391,57142.148
392,57084.531
393,57029.371
394,56993.789
395,56953.535
396,56953.754
397,56995.914
398,56987.391
399,57037.086
400,57044.031
401,57079.414
402,57090.211
403,57186.082
404,57200.309
405,57194.879
406,57096.605
407,57031.062
408,56972.207
409,56982.422
410,57049.480
411,57044.145
412,57065.969
413,57108.055
414,57361.430
415,57491.215
416,57526.992
417,57389.309
418,57358.121
419,57326.617
420,57309.266
421,57287.199
422,57290.953
423,57267.625
424,57210.152
425,57166.742
426,57171.145
427,57165.000
428,57215.859
429,57211.090
430,57254.461
431,57141.605
432,57189.027
433,57214.070
434,57242.480
435,57197.188
436,57206.922
437,57224.238
438,57176.551
439,57110.562
440,57080.473
441,57087.531
442,57109.484
443,57163.527
444,57181.867
445,57200.203
446,57184.535
447,57098.348
448,57077.516
449,57022.051
450,56998.250
451,57107.371
452,57179.277
453,57380.566
454,57347.844
455,57427.613
456,57305.863
457,57379.652
458,57373.957
459,57400.480
460,57380.281
461,57322.066
462,57251.883
463,57097.652
464,57047.031
465,57025.625
466,57055.418
467,57082.098
468,57098.160
469,57197.457
470,57247.789
471,57269.402
472,57264.762
473,57200.895
474,57195.578
475,57157.047
476,57145.348
477,57149.312
478,57127.477
479,57257.094
480,57416.957
481,57514.762
482,57424.316
483,57326.586
484,57299.941
485,57319.211
486,57298.172
487,57321.418
488,57287.461
489,57299.441
490,57293.316
491,57344.836
492,57459.543
493,57545.848
494,57573.188
495,57474.953
496,57531.738
497,57544.016
498,57593.086
499,57457.445
500,57631.457
501,57824.180
502,57941.582
503,57804.086
504,57663.156
505,57605.988
506,57526.641
507,57449.949
508,57372.043
509,57388.691
510,57357.859
511,57375.082
512,57394.977
513,57383.035
514,57401.598
515,57360.883
516,57453.008
517,57541.207
518,57618.074
519,57586.461
520,57500.426
521,57504.113
522,57440.379
523,57359.754
524,57232.457
525,57241.328
526,57230.680
527,57233.930
528,57193.195
529,57299.059
530,57496.750
531,57567.996
532,57549.895
533,57384.969
534,57446.996
535,57370.883
536,57434.410
537,57410.625
538,57537.141
539,57570.176
540,57584.242
541,57520.469
542,57517.180
543,57572.164
544,57601.004
545,57622.500
546,57614.910
547,57645.527
548,57656.602
549,57653.207
550,57604.070
551,57705.871
552,57752.777
553,57759.723
554,57654.645
555,57626.562
556,57613.488
557,57642.070
558,57582.969
559,57662.617
560,57620.125
561,57655.875
562,57814.328
563,57972.051
564,58070.078
565,57995.566
566,57915.617
567,57939.168
568,58114.562
569,58170.352
570,58168.988
571,57907.426
572,57864.875
573,57839.188
574,57845.992
575,57751.922
576,57720.277
577,57744.578
578,57682.691
579,57662.211
580,57599.363
581,57771.148
582,57902.941
583,57999.594
584,57996.082
585,57914.266
586,57868.273
587,57828.957
588,57849.684
589,57843.113
590,57851.367
591,57702.211
592,57588.277
593,57671.406
594,57705.828
595,57837.191
596,57761.676
597,57812.660
598,57750.590
599,57761.875
600,57754.609
601,57675.371
602,57676.766
603,57569.449
604,57614.707
605,57581.172
606,57600.668
607,57605.348
608,57711.789
609,57803.098
610,57830.523
611,57774.664
612,57712.441
613,57760.258
614,57695.141
615,57722.391
616,57615.668
617,57755.633
618,57841.145
619,57886.086
620,57857.457
621,57774.172
622,58011.605
623,58258.059
624,58495.648
625,58465.680
626,58247.023
627,58155.965
628,57996.590
629,57969.441
630,57902.188
631,57892.434
632,57838.449
633,57788.336
634,57780.109
635,57731.383
636,57711.289
637,57651.969
638,57688.594
639,57723.207
640,57801.355
641,57849.875
642,57801.242
643,57829.035
644,57916.156
645,58036.594
646,58013.898
647,57939.086
648,57855.641
649,57817.562
650,57862.609
651,57893.703
652,57907.605
653,57761.441
654,57740.340
655,57721.562
656,57825.367
657,57881.133
658,57924.148
659,58027.996
660,58057.043
661,58088.590
662,57934.520
663,57876.707
664,57776.340
665,57861.492
666,57911.344
667,58230.070
668,58742.969
669,59124.492
670,59210.047
671,58896.328
672,58671.617
673,58604.902
674,58552.656
675,58535.172
676,58351.988
677,58250.879
678,58133.082
679,58102.184
680,58002.723
681,58018.102
682,57958.117
683,57966.328
684,57933.602
685,57920.020
686,57967.414
687,57868.586
688,57880.215
689,57771.148
690,57822.586
691,57793.125
692,57810.141
