[micron],Mean
0,50422.930
1,50459.613
2,50427.703
3,50438.969
4,50434.746
5,50460.766
6,50497.660
7,50554.340
8,50575.664
9,50540.234
10,50541.547
11,50576.973
12,50579.188
13,50527.215
14,50506.770
15,50506.109
16,50542.301
17,50568.305
18,50580.055
19,50538.945
20,50478.586
21,50462.285
22,50460.707
23,50454.457
24,50476.293
25,50479.434
26,50451.527
27,50402.035
28,50350.832
29,50360.586
30,50360.543
31,50387.680
32,50407.141
33,50415.551
34,50347.344
35,50347.305
36,50365.141
37,50425.770
38,50429.484
39,50490.590
40,50501.180
41,50490.164
42,50451.328
43,50415.172
44,50365.922
45,50310.328
46,50246.211
47,50221.777
48,50183.820
49,50166.836
50,50171.672
51,50211.379
52,50253.414
53,50245.887
54,50253.203
55,50260.594
56,50281.785
57,50323.957
58,50400.871
59,50483.723
60,50468.980
61,50481.105
62,50466.957
63,50485.281
64,50472.215
65,50422.363
66,50401.117
67,50353.133
68,50316.465
69,50244.633
70,50249.711
71,50313.219
72,50405.344
73,50441.773
74,50515.949
75,50570.906
76,50600.863
77,50522.570
78,50428.352
79,50328.867
80,50297.195
81,50349.199
82,50434.336
83,50484.863
84,50452.582
85,50462.363
86,50464.164
87,50609.688
88,50610.707
89,50640.344
90,50562.922
91,50562.109
92,50608.059
93,50697.238
94,50736.270
95,50779.465
96,50738.359
97,50721.688
98,50659.016
99,50584.004
100,50532.336
101,50533.449
102,50534.668
103,50541.359
104,50516.359
105,50520.988
106,50493.371
107,50485.801
108,50432.816
109,50342.324
110,50281.016
111,50268.602
112,50269.066
113,50361.758
114,50369.988
115,50427.648
116,50384.652
117,50405.676
118,50365.836
119,50302.012
120,50264.402
121,50335.254
122,50375.148
123,50406.934
124,50366.797
125,50345.738
126,50351.902
127,50371.266
128,50464.832
129,50458.871
130,50472.203
131,50437.398
132,50437.672
133,50467.477
134,50440.457
135,50448.016
136,50410.434
137,50390.055
138,50508.855
139,50650.406
140,50783.645
141,50739.613
142,50682.570
143,50660.773
144,50687.230
145,50702.309
146,50709.586
147,50677.910
148,50683.621
149,50716.391
150,50738.879
151,50687.039
152,50600.145
153,50658.445
154,50803.898
155,50961.695
156,50957.230
157,50868.539
158,50844.648
159,50769.121
160,50779.152
161,50754.207
162,50768.039
163,50730.422
164,50683.094
165,50617.418
166,50551.133
167,50551.117
168,50508.750
169,50497.602
170,50414.477
171,50414.820
172,50412.219
173,50381.188
174,50336.219
175,50298.488
176,50302.496
177,50359.617
178,50377.438
179,50382.441
180,50339.379
181,50442.484
182,50513.270
183,50666.277
184,50685.410
185,50772.359
186,50857.840
187,50953.211
188,51040.016
189,51030.398
190,51045.008
191,50970.277
192,50947.906
193,50876.078
194,50903.133
195,50867.656
196,50845.906
197,50773.168
198,50765.535
199,50757.133
200,50841.504
201,50818.074
202,50841.617
203,50732.332
204,50722.488
205,50681.109
206,50674.012
207,50629.312
208,50632.742
209,50654.996
210,50677.086
211,50720.039
212,50735.152
213,50802.180
214,50816.441
215,50887.840
216,50807.723
217,50744.996
218,50652.312
219,50692.117
220,50744.945
221,50760.527
222,50775.191
223,50745.633
224,50817.766
225,50773.941
226,50751.207
227,50677.434
228,50754.551
229,50750.105
230,50758.828
231,50716.227
232,50681.781
233,50730.910
234,50741.746
235,50833.617
236,50802.949
237,50809.891
238,50769.895
239,50798.906
240,50819.000
241,50865.121
242,50894.000
243,50893.016
244,50847.809
245,50867.113
246,50851.410
247,51013.449
248,51040.645
249,51121.855
250,50984.328
251,50980.863
252,50885.648
253,50913.266
254,50832.973
255,50814.445
