Frame,Mean
1,14124.721
2,13327.364
3,13024.325
4,12910.875
5,13030.819
6,13167.185
7,13556.699
8,13602.844
9,13415.774
10,12918.006
11,12466.410
12,12689.649
13,12816.865
14,13065.029
15,12943.780
16,12534.854
17,12569.156
18,12923.358
19,12429.661
20,12730.564
21,12563.894
22,12663.971
23,12710.087
24,12907.509
25,13018.424
26,13561.087
27,12891.489
28,13254.915
29,13248.146
30,13238.778
31,12490.667
32,12230.588
33,12483.006
34,12853.123
35,13046.449
36,12769.610
37,12561.732
38,12906.160
39,12412.146
40,12880.091
41,13333.688
42,13654.857
43,13514.002
44,13153.231
45,12589.358
46,12430.445
47,12976.894
48,13195.626
49,13271.857
50,12906.537
51,12832.146
52,12606.541
53,12976.303
54,12531.909
55,12700.233
56,12801.196
57,13165.283
58,13638.655
59,13390.772
60,13120.767
61,12685.181
62,12945.605
63,13070.605
64,13003.188
65,13228.836
66,12781.755
67,12974.305
68,12755.608
69,12911.185
70,13053.562
71,12945.260
72,12852.798
73,12749.097
74,12105.824
75,12474.501
76,12700.584
77,12670.757
78,12860.744
79,12566.703
80,13450.545
81,13311.139
82,13390.095
83,13438.162
84,13087.479
85,12833.592
86,13142.564
87,12401.305
88,12258.977
89,12875.557
90,13716.277
91,13571.885
92,13564.686
93,13262.127
94,13370.493
95,12837.649
96,12963.081
97,12856.127
98,12876.216
99,13620.582
100,13257.487
101,13405.782
102,12979.526
103,12658.649
104,12554.855
105,12575.127
106,12588.445
107,12483.736
108,13094.370
109,12939.468
110,12699.740
111,12854.402
112,12716.610
113,12852.944
114,13180.402
115,13278.451
116,13489.305
117,12857.800
118,12484.596
119,12436.075
120,12497.921
121,13135.940
122,13216.099
123,12984.164
124,12830.642
125,13278.640
126,13019.254
127,12807.848
128,12752.590
129,12858.651
130,12815.095
131,13393.736
132,13242.780
133,13466.844
134,12843.755
135,12588.732
136,13002.517
137,13198.759
138,13647.418
139,13365.438
140,12901.931
141,12981.226
142,13387.824
143,13288.600
144,12471.479
145,12144.796
146,12424.614
147,12697.231
148,12888.746
149,12601.638
150,13583.103
151,13913.424
152,13666.181
153,13610.680
154,13806.602
155,13348.386
156,13011.507
157,12709.362
158,13003.210
159,13429.507
160,13587.612
161,13426.808
162,13743.855
163,13486.048
164,13399.270
165,13557.885
166,13634.025
167,13350.343
168,13147.187
169,13193.647
170,13164.196
171,13138.406
172,13071.759
173,13080.622
174,12741.982
175,13029.103
176,12864.742
177,12821.848
178,12638.659
179,12723.804
180,13397.651
181,14076.412
182,14154.889
183,13933.861
184,13168.430
185,12591.455
186,12528.358
187,12837.919
188,12406.557
189,13289.087
190,13624.260
191,13973.663
192,13496.994
193,12927.424
194,12587.166
195,12597.771
196,12913.806
197,13238.388
198,13262.969
199,13646.176
200,13471.948
201,13440.979
202,13140.077
203,12905.489
204,13005.192
205,13609.181
206,13235.320
207,13318.771
208,13954.980
209,14527.655
210,13706.526
211,12780.035
212,12568.183
213,12457.867
214,12652.158
215,12944.788
216,13419.659
217,13840.946
218,13709.119
219,13668.873
220,12960.000
221,13078.384
222,12874.786
223,12996.511
224,12618.541
225,14484.576
226,15134.812
227,14455.772
228,13335.237
229,12876.873
230,13443.168
231,13298.751
232,13356.010
233,14000.774
234,14169.113
235,14350.812
236,13530.570
237,13158.808
238,13186.254
239,13035.703
240,12574.320
241,12692.198
242,12825.734
243,12678.570
244,12860.354
245,12491.810
246,13712.243
247,13910.923
248,13720.725
249,13248.574
250,12889.447
251,12945.063
252,12871.834
253,13295.345
254,13592.396
255,13476.602
256,13328.125
257,13708.020
258,13366.168
259,13094.174
260,13159.233
261,13723.954
262,13687.052
263,13301.907
264,13122.388
265,13622.659
266,13386.320
267,13427.293
268,12846.270
269,12488.622
270,12886.139
271,13601.347
272,13536.628
273,13882.143
274,13894.834
275,13701.119
276,13808.461
277,13026.513
278,12903.129
279,13404.815
280,13579.604
281,12555.513
282,12873.725
283,13453.345
284,14215.636
285,13679.392
286,12639.824
287,12589.129
288,13058.459
289,13197.311
290,13160.243
