Frame,Mean
1,12273.854
2,11699.269
3,11612.542
4,11758.815
5,11613.934
6,11995.819
7,12629.040
8,12337.114
9,12777.260
10,12062.700
11,11674.563
12,12257.731
13,12036.419
14,12317.951
15,11878.158
16,11787.370
17,12277.026
18,12510.198
19,13104.982
20,13688.445
21,12860.084
22,12180.158
23,12278.635
24,12042.568
25,12500.779
26,12456.401
27,12214.793
28,11818.000
29,11754.581
30,12329.348
31,12918.312
32,12948.881
33,12308.445
34,12436.705
35,12618.053
36,12202.269
37,12425.881
38,12100.705
39,12590.621
40,13245.119
41,12820.251
42,12715.533
43,12494.221
44,12319.524
45,12306.084
46,11765.221
47,12307.167
48,12295.528
49,11888.670
50,11983.635
51,12115.921
52,12542.991
53,12350.753
54,12476.247
55,12270.568
56,12038.221
57,11920.300
58,12448.846
59,11979.872
60,12469.797
61,12306.062
62,12233.454
63,12115.762
64,12392.577
65,12846.934
66,12785.321
67,12445.679
68,12340.018
69,12094.542
70,11199.167
71,11404.718
72,11459.401
73,12373.516
74,12602.128
75,12786.233
76,12669.612
77,11873.533
78,11733.903
79,11560.656
80,12315.705
81,11923.740
82,12649.472
83,11976.819
84,12133.291
85,11627.978
86,11309.898
87,11447.304
88,12791.300
89,11990.753
90,12626.683
91,11721.286
92,11591.727
93,11715.982
94,12698.026
95,11906.026
96,11960.877
97,11856.982
98,12660.123
99,12306.062
100,12261.793
101,12660.304
102,12386.930
103,12176.088
104,12049.762
105,11638.714
106,11738.758
107,11952.524
108,11981.472
109,11812.075
110,12958.432
111,13109.890
112,13512.551
113,13167.146
114,13621.612
115,13285.784
116,11940.986
117,11311.938
118,11998.762
119,12990.753
120,13465.811
121,12352.058
122,11261.520
123,11923.903
124,12050.233
125,13333.123
126,12985.326
127,12872.132
128,12434.572
129,12408.484
130,12515.709
131,12381.476
132,12059.895
133,12418.969
134,11873.775
135,11724.744
136,12161.445
137,12700.286
138,12492.612
139,13671.370
140,12365.581
141,12407.877
142,11754.088
143,12116.317
144,11823.854
145,12221.617
146,12262.991
147,12732.273
148,12757.978
149,12183.925
150,12668.463
151,12972.128
152,13525.779
153,13204.714
154,13428.233
155,11912.916
156,11501.198
157,11458.969
158,12788.960
159,12880.568
160,12839.942
161,12464.383
162,11996.154
163,11729.110
164,11959.370
165,11746.520
166,12070.022
167,13239.590
168,13430.837
169,12915.528
170,12850.621
171,12533.688
172,12562.802
173,12366.555
174,11724.049
175,11133.921
176,11340.392
177,12066.635
178,12310.154
179,11974.445
180,12703.286
181,12513.062
182,12159.524
183,12059.502
184,12555.291
185,12549.097
186,13037.934
187,13197.282
188,12349.788
189,12834.744
190,12918.828
191,12317.938
192,11617.185
193,11677.286
194,12734.251
195,12744.247
196,12260.696
197,12246.886
198,12762.644
199,12245.088
200,12024.788
201,12729.991
202,12042.656
203,11754.709
204,11888.656
205,12099.581
206,12647.141
207,12785.718
208,12869.379
209,12411.000
210,11131.851
211,11433.353
212,11261.837
213,12130.639
214,12133.295
215,11865.537
216,12634.635
217,12731.731
218,13027.277
219,11885.907
220,11557.568
221,11583.502
222,12026.912
223,12808.639
224,12534.484
225,13182.242
226,13168.141
227,13058.775
228,12605.595
229,12578.022
230,12534.312
231,12297.044
232,11643.604
233,12623.744
234,13849.749
235,13936.189
236,12168.661
237,11512.149
238,11767.639
239,12177.731
240,12418.189
241,12225.811
242,12477.361
243,13182.516
244,13429.709
245,13254.317
246,12985.480
247,12852.476
248,11657.286
249,11701.383
250,12167.709
251,13730.428
252,14155.309
253,13756.084
254,13107.635
255,12417.044
256,12048.630
257,11708.744
258,11054.212
259,12739.361
260,13838.665
261,13840.859
262,13237.925
263,12199.877
264,11848.401
265,11669.026
266,11620.432
267,11422.797
268,11488.463
269,11153.291
270,12036.009
271,12008.423
272,13181.744
273,13217.149
274,12650.502
275,12587.775
276,12077.828
277,12306.942
278,12482.617
279,13169.163
280,13797.084
281,12264.586
282,12224.744
283,12424.995
284,13072.339
285,12808.339
286,11977.572
287,12318.132
288,12731.951
289,12514.260
290,12903.484
291,12662.286
292,12048.233
293,11668.560
294,11062.093
295,12210.304
296,11853.555
297,12561.705
298,12734.149
299,12328.189
300,12308.269
301,12306.683
302,13149.344
303,12739.014
304,12725.172
305,12545.842
306,13289.815
307,13939.423
308,13096.947
309,12528.212
310,12066.872
311,11360.392
312,11109.740
313,11503.423
314,13973.356
315,13648.516
316,13337.670
317,11947.762
318,12343.656
319,12903.454
320,11987.995
321,11467.189
322,11350.744
323,11502.269
324,11740.969
325,12048.586
326,13653.635
327,13248.815
328,11830.537
329,12575.898
330,11709.414
331,13382.898
332,12777.635
333,12826.507
334,12012.260
335,12582.014
336,11939.586
337,12327.154
338,11345.683
339,11340.193
340,11167.969
341,12449.489
342,12724.938
343,13367.877
344,12847.093
345,13790.991
346,13479.326
347,12886.934
348,12348.423
349,11982.863
350,12844.449
351,12399.498
352,12411.105
353,12990.542
354,13791.049
355,13690.260
356,13680.463
357,12157.626
358,14000.824
359,12386.344
360,11742.533
361,11754.577
362,13119.432
363,12717.586
364,12960.273
365,13139.247
366,12247.181
367,11231.938
368,11703.696
369,11488.242
370,12394.251
371,12493.172
372,13395.846
373,13887.193
374,13583.581
375,12566.396
376,12324.277
377,11688.942
378,11657.256
379,12348.978
380,12839.670
381,13538.859
382,13115.612
383,12692.370
384,11820.304
385,12011.974
386,12780.374
387,12451.520
388,12478.951
389,12541.141
390,13377.705
391,13439.586
392,12820.727
393,12476.577
394,12719.568
395,13236.203
396,13452.088
397,14128.974
398,13176.916
399,13380.066
400,13633.709
401,12442.886
402,12342.626
403,11711.833
404,11743.758
405,11975.555
406,12420.938
407,13346.665
408,13026.586
409,12630.916
410,12251.119
411,12299.630
412,12137.463
413,12738.335
414,12708.379
415,14661.925
416,13833.560
417,14147.608
418,12473.779
419,12855.921
420,12076.886
421,11932.859
422,12320.203
423,12414.396
424,12568.282
425,13121.163
426,13594.912
427,13215.612
428,12843.572
429,12854.907
430,13577.969
431,13035.537
432,12408.863
433,12525.463
434,13320.392
435,13643.114
436,13054.040
437,13481.934
438,12869.093
439,12619.321
440,11809.242
441,11910.163
442,12356.251
443,13538.026
444,14313.942
445,14530.595
446,13772.105
447,13136.859
448,12438.661
449,13108.978
450,12023.137
451,12168.493
452,12659.467
453,13505.828
454,14161.193
455,13950.154
456,13938.639
457,13470.991
458,11910.563
459,12085.000
460,14029.656
461,14216.221
462,14507.449
463,12927.256
464,13896.356
465,13531.000
466,13146.154
467,13187.141
468,12776.207
469,12885.688
470,11776.661
471,13108.353
472,14215.709
473,14175.062
474,13086.277
475,12731.229
476,12914.498
477,11958.000
478,12000.599
479,12664.572
480,15105.533
481,15779.528
482,14698.137
483,14598.709
484,14313.344
485,13424.277
486,12302.149
487,12058.903
488,12722.942
489,12980.467
490,12503.520
491,12493.788
492,12877.044
493,13663.507
494,12897.859
495,12233.070
496,11887.472
497,11140.149
498,12335.035
499,12722.912
500,13892.419
501,16792.832
502,17890.186
503,15069.146
504,12671.744
505,11709.093
506,13788.247
507,13452.749
508,12687.723
509,13679.022
510,13585.555
511,14477.251
512,12566.221
513,12134.282
514,11422.256
515,12934.951
516,13799.198
517,16112.079
518,13198.960
519,13265.383
520,11924.560
521,13057.718
522,11913.819
523,11564.291
524,13009.837
525,12389.114
526,12274.898
527,13135.903
528,13492.031
529,12933.718
530,12652.595
531,12353.472
532,12707.895
533,12579.114
534,12658.586
535,12334.942
536,13774.555
537,13846.930
538,13726.956
539,11859.590
540,11991.656
541,11765.356
542,14177.458
543,13854.807
544,14620.762
545,13841.040
546,14694.379
547,14405.577
548,13551.079
549,12674.198
550,12230.203
551,12834.912
552,12916.930
553,13392.321
554,13553.454
555,14641.326
556,14876.590
557,13523.154
558,13096.802
559,12656.295
560,12722.383
561,12624.018
562,12869.863
563,13035.158
564,14407.480
565,14661.895
566,14482.524
567,12895.921
568,13757.414
569,12095.828
570,12185.049
571,11668.110
572,13418.229
573,15989.942
574,16579.807
575,14368.604
576,13454.238
577,13067.744
578,13544.344
579,13088.193
580,12600.621
581,14031.075
582,16166.379
583,17120.418
584,14404.203
585,13804.093
586,12897.811
587,13087.176
588,12819.233
589,13447.537
590,13854.599
591,14457.493
592,13769.714
593,13646.185
594,13631.528
595,13456.727
596,12809.872
597,12362.370
598,12359.463
599,13783.207
600,14416.982
601,13657.537
602,13291.735
603,12994.344
604,13176.079
605,12858.472
606,12308.705
607,12488.753
608,13448.158
609,15995.604
610,16666.814
611,14307.269
612,13564.665
613,12951.265
614,13679.344
615,13173.317
616,12784.291
617,14096.009
618,14526.093
619,14721.758
620,13628.260
621,13920.405
622,14653.388
623,12306.656
624,12540.383
625,12386.458
626,14725.639
627,14590.437
628,13668.031
629,13849.824
630,13943.779
631,13771.793
632,13086.925
633,12081.572
634,12336.493
635,13206.014
636,13630.727
637,13460.437
