Frame,Mean
1,10905.265
2,10598.528
3,11161.969
4,10881.767
5,11422.694
6,11300.969
7,11318.519
8,10509.420
9,10538.979
10,10469.265
11,10844.544
12,11014.782
13,11827.357
14,11537.368
15,11652.989
16,11346.959
17,11314.611
18,11040.472
19,11300.249
20,11667.544
21,11459.539
22,11027.539
23,10774.378
24,10465.311
25,10753.730
26,10948.036
27,10479.715
28,11303.928
29,11323.497
30,10958.611
31,10039.067
32,9899.016
33,10400.564
34,11241.544
35,10860.854
36,11001.321
37,10298.555
38,10229.306
39,10643.953
40,10629.420
41,10585.342
42,10598.984
43,11204.094
44,10610.730
45,10361.560
46,10778.467
47,10933.694
48,10740.730
49,10547.436
50,10383.964
51,10478.726
52,11232.451
53,11614.803
54,11378.969
55,10822.767
56,10534.647
57,10741.130
58,10936.404
59,10821.638
60,11138.399
61,11102.223
62,11811.591
63,11643.140
64,11320.928
65,11129.114
66,11190.539
67,11131.674
68,10841.969
69,10461.062
70,11482.057
71,11440.337
72,11165.917
73,11132.492
74,10962.430
75,11791.378
76,10628.223
77,11299.270
78,11028.689
79,11652.083
80,11347.290
81,11052.337
82,10710.295
83,10598.306
84,10692.663
85,11037.647
86,10805.638
87,10941.953
88,11241.933
89,10905.943
90,10287.658
91,11465.979
92,11361.108
93,10790.943
94,10695.508
95,10357.959
96,10415.176
97,10308.228
98,11115.259
99,10635.094
100,10784.679
101,10927.425
102,10676.876
103,10778.445
104,10582.560
105,10427.461
106,11625.160
107,12053.974
108,10819.580
109,11308.798
110,11452.311
111,10746.218
112,10401.715
113,10499.647
114,10841.829
115,10866.840
116,10662.290
117,11170.436
118,10917.497
119,10826.892
120,10916.368
121,10213.772
122,10109.011
123,10441.409
124,10989.772
125,10878.083
126,10323.560
127,10105.668
128,11032.425
129,10735.124
130,10478.674
131,10358.627
132,11046.519
133,11247.445
134,11625.730
135,10996.705
136,10768.964
137,11382.119
138,10941.394
139,9367.782
140,9339.798
141,9940.809
142,10703.005
143,11296.735
144,11518.021
145,11597.906
146,11373.860
147,11200.668
148,11368.011
149,11589.943
150,11414.166
151,10606.140
152,10373.679
153,10678.160
154,10875.399
155,10280.699
156,10423.191
157,10718.528
158,11213.549
159,10895.772
160,11093.150
161,11283.404
162,10846.290
163,10904.140
164,10697.735
165,10698.160
166,11655.197
167,11691.854
168,10693.114
169,10463.301
170,10744.762
171,11066.840
172,11259.492
173,10954.394
174,11072.824
175,11489.467
176,11676.254
177,11182.353
178,10607.057
179,10243.135
180,10059.445
181,10271.124
182,10762.000
183,11600.523
