[micron],Mean
0,3331.564
1,3335.287
2,3305.287
3,3322.027
4,3328.308
5,3346.543
6,3345.404
7,3372.395
8,3390.179
9,3282.397
10,3323.307
11,3299.304
12,3375.292
13,3338.624
14,3381.958
15,3382.424
16,3437.504
17,3522.764
18,3503.456
19,3531.148
20,3418.934
21,3427.176
22,3391.770
23,3431.999
24,3464.178
25,3566.731
26,3515.356
27,3472.665
28,3424.773
29,3419.862
30,3372.440
31,3408.186
32,3383.179
33,3344.187
34,3292.089
35,3283.836
36,3325.051
37,3443.476
38,3492.752
39,3543.344
40,3587.431
41,3502.652
42,3509.507
43,3505.222
44,3480.042
45,3436.166
46,3417.110
47,3425.861
48,3355.267
49,3312.001
50,3307.594
51,3369.825
52,3366.828
53,3443.785
54,3320.134
55,3346.135
56,3347.595
57,3385.378
58,3469.486
59,3548.005
60,3521.681
61,3532.708
62,3482.807
63,3499.041
64,3543.969
65,3500.337
66,3486.883
67,3459.216
68,3445.775
69,3392.981
70,3424.004
71,3423.940
72,3465.823
73,3536.823
74,3528.855
75,3483.120
76,3521.391
77,3449.135
78,3430.797
79,3381.823
80,3384.086
81,3391.564
82,3420.733
83,3422.905
84,3433.539
85,3408.628
86,3438.875
87,3560.867
88,3566.493
89,3610.884
90,3486.239
91,3551.985
92,3630.403
93,3679.905
94,3643.544
95,3642.255
96,3553.342
97,3542.178
98,3441.514
99,3413.875
100,3415.540
101,3472.446
102,3531.650
103,3581.428
104,3537.214
105,3469.907
106,3403.392
107,3491.969
108,3439.505
109,3465.064
110,3372.396
111,3368.238
112,3435.225
113,3470.102
114,3463.914
115,3493.267
116,3473.451
117,3460.739
118,3427.864
119,3400.311
120,3335.304
121,3414.398
122,3392.137
123,3483.445
124,3476.641
125,3442.976
126,3397.391
127,3362.574
128,3476.383
129,3466.867
130,3547.101
131,3442.794
132,3494.205
133,3503.838
134,3483.884
135,3481.536
136,3429.666
137,3441.792
138,3415.660
139,3537.026
140,3588.099
141,3593.507
142,3601.319
143,3528.799
144,3519.296
145,3520.083
146,3552.271
147,3528.863
148,3566.498
149,3591.648
150,3641.917
151,3634.483
152,3529.959
153,3472.864
154,3554.858
155,3617.765
156,3659.912
157,3600.967
158,3645.309
159,3596.190
160,3630.176
161,3571.628
162,3598.522
163,3555.958
164,3544.714
165,3511.469
166,3463.641
167,3544.018
168,3540.085
169,3541.879
170,3422.198
171,3443.255
172,3483.033
173,3425.577
174,3416.545
175,3424.747
176,3496.184
177,3438.078
178,3420.738
179,3406.033
180,3390.511
181,3552.679
182,3510.442
183,3572.205
184,3519.774
185,3611.734
186,3658.541
187,3735.673
188,3772.148
189,3800.037
190,3860.856
191,3758.379
192,3650.108
193,3535.198
194,3543.963
195,3523.671
196,3590.299
197,3599.575
198,3577.599
199,3529.088
200,3456.523
201,3373.899
202,3405.861
203,3399.928
204,3397.141
205,3429.472
206,3484.381
207,3502.633
208,3576.993
209,3518.392
210,3520.247
211,3546.658
212,3600.027
213,3580.204
214,3622.684
215,3728.867
216,3664.376
217,3614.945
218,3572.587
219,3568.642
220,3587.896
221,3617.800
222,3595.892
223,3607.431
224,3642.395
225,3605.863
226,3583.495
227,3573.410
228,3615.628
229,3616.551
230,3601.977
231,3581.717
232,3559.207
233,3684.081
234,3674.112
235,3744.097
236,3701.213
237,3673.306
238,3644.528
239,3632.180
240,3638.691
241,3638.782
242,3676.438
243,3693.043
244,3679.640
245,3593.502
246,3508.361
247,3587.999
248,3645.154
249,3709.809
250,3630.040
251,3671.524
252,3657.687
253,3697.802
254,3608.934
255,3599.178
