[micron],Mean
0,2509.509
1,2461.639
2,2515.706
3,2562.698
4,2636.405
5,2641.044
6,2587.940
7,2584.505
8,2566.005
9,2498.242
10,2545.339
11,2544.037
12,2625.971
13,2631.345
14,2630.104
15,2548.726
16,2590.767
17,2551.692
18,2577.760
19,2557.659
20,2588.002
21,2614.984
22,2651.693
23,2655.280
24,2673.415
25,2690.299
26,2662.812
27,2667.444
28,2663.771
29,2655.196
30,2621.026
31,2691.813
32,2645.799
33,2637.928
34,2694.627
35,2778.631
36,2805.480
37,2802.402
38,2755.287
39,2745.636
40,2751.007
41,2655.929
42,2579.086
43,2600.957
44,2580.773
45,2617.641
46,2610.172
47,2653.564
48,2624.798
49,2642.923
50,2671.144
51,2692.948
52,2724.246
53,2741.494
54,2726.513
55,2714.587
56,2673.136
57,2657.980
58,2643.252
59,2576.078
60,2548.485
61,2634.203
62,2693.097
63,2635.180
64,2571.869
65,2508.158
66,2544.502
67,2603.805
68,2681.463
69,2657.621
70,2691.280
71,2604.985
72,2594.709
73,2671.553
74,2668.302
75,2728.285
76,2828.339
77,2793.762
78,2764.863
79,2728.923
80,2632.887
81,2668.580
82,2618.493
83,2705.543
84,2646.198
85,2632.972
86,2687.001
87,2785.741
88,2874.850
89,2951.064
90,2875.476
91,2844.430
92,2837.674
93,2854.000
94,2883.939
95,2853.177
96,2758.434
97,2800.972
98,2713.661
99,2707.424
100,2687.174
101,2675.124
102,2749.289
103,2691.610
104,2810.705
105,2722.149
106,2784.661
107,2755.867
108,2711.592
109,2757.911
110,2643.677
111,2645.966
112,2683.968
113,2751.536
114,2784.973
115,2801.846
116,2782.392
117,2812.195
118,2778.584
119,2821.531
120,2779.569
121,2798.529
122,2669.170
123,2642.979
124,2693.126
125,2724.443
126,2724.013
127,2784.906
128,2784.537
129,2796.933
130,2771.960
131,2780.167
132,2808.435
133,2840.428
134,2784.418
135,2786.189
136,2768.043
137,2824.271
138,2827.425
139,2819.875
140,2656.273
141,2564.169
142,2707.325
143,2846.866
144,2951.716
145,2973.694
146,2936.391
147,2861.271
148,2875.004
149,2847.712
150,2929.044
151,2986.369
152,2980.283
153,2905.192
154,2830.341
155,2758.989
156,2792.670
157,2828.596
158,2850.704
159,2838.238
160,2862.030
161,2870.456
162,2868.918
163,2792.265
164,2771.546
165,2768.746
166,2780.575
167,2842.309
168,2874.524
169,2860.062
170,2768.551
171,2760.051
172,2786.436
173,2720.968
174,2734.613
175,2795.401
176,2844.029
177,2833.312
178,2793.854
179,2748.197
180,2699.635
181,2780.039
182,2777.482
183,2887.099
184,2943.933
185,2943.351
186,2905.607
187,2913.728
188,2952.194
189,2941.616
190,3100.340
191,3294.271
192,3331.728
193,3288.885
194,3163.447
195,3036.778
196,2912.990
197,2804.000
198,2755.947
199,2805.020
200,2739.366
201,2778.737
202,2797.567
203,2870.119
204,2798.201
205,2802.418
206,2672.203
207,2615.360
208,2696.119
209,2744.409
210,2758.018
211,2849.375
212,2895.926
213,2879.459
214,2835.827
215,2785.702
216,2715.274
217,2754.459
218,2834.606
219,2885.087
220,2887.963
221,2898.811
222,2807.236
223,2855.734
224,2869.921
225,2903.909
226,2891.665
227,2890.259
228,2845.920
229,2844.463
230,2798.069
231,2734.432
232,2695.374
233,2768.066
234,2774.372
235,2796.865
236,2805.762
237,2906.731
238,2915.786
239,2939.657
240,2924.669
241,2983.381
242,2928.731
243,2885.389
244,2868.825
245,2874.082
246,2829.258
247,2942.116
248,3018.265
249,3129.763
250,3024.320
251,2885.130
252,2817.013
253,2875.515
254,2938.711
255,2876.836
256,2804.176
257,2793.711
258,2870.223
259,2930.343
260,2866.233
261,2800.321
262,2815.621
263,2805.986
264,2840.673
265,2868.694
266,2999.541
267,3048.808
268,3115.268
269,3009.809
270,2968.701
271,2919.691
272,2867.233
273,2899.704
274,2911.270
275,2936.492
276,2945.955
277,2966.152
278,2928.292
279,2814.307
280,2852.721
281,2888.142
282,3007.796
283,3113.383
284,3135.583
285,3061.175
286,2974.026
