[micron],Mean
0,3362.885
1,3367.490
2,3367.798
3,3379.056
4,3375.849
5,3366.028
6,3367.200
7,3370.838
8,3363.777
9,3366.142
10,3369.772
11,3362.351
12,3365.224
13,3370.445
14,3364.875
15,3367.728
16,3369.470
17,3365.801
18,3369.355
19,3365.881
20,3358.043
21,3356.525
22,3351.253
23,3345.691
24,3344.209
25,3342.389
26,3338.063
27,3342.803
28,3343.135
29,3338.305
30,3347.817
31,3348.649
32,3342.433
33,3354.306
34,3356.088
35,3348.764
36,3363.698
37,3365.109
38,3357.218
39,3370.208
40,3373.540
41,3362.927
42,3374.471
43,3377.370
44,3365.980
45,3372.719
46,3377.165
47,3364.204
48,3369.712
49,3372.767
50,3360.906
51,3364.784
52,3368.658
53,3357.646
54,3364.695
55,3368.048
56,3354.805
57,3364.720
58,3369.126
59,3354.402
60,3366.546
61,3371.313
62,3354.612
63,3367.080
64,3370.245
65,3355.127
66,3364.310
67,3367.977
68,3358.076
69,3366.844
70,3368.057
71,3360.661
72,3371.835
73,3374.200
74,3372.572
75,3381.336
76,3383.330
77,3381.092
78,3388.137
79,3391.170
80,3387.860
81,3391.817
82,3395.105
83,3386.391
84,3389.289
85,3392.762
86,3381.617
87,3385.969
88,3388.383
89,3375.880
90,3383.494
91,3383.961
92,3377.088
93,3383.000
94,3384.724
95,3379.141
96,3383.677
97,3387.812
98,3381.069
99,3379.952
100,3386.947
101,3378.181
102,3375.405
103,3385.216
104,3375.562
105,3372.550
106,3381.398
107,3370.651
108,3369.419
109,3376.757
110,3370.240
111,3372.646
112,3377.604
113,3371.226
114,3378.747
115,3380.894
116,3376.280
117,3386.473
118,3387.690
119,3383.330
120,3393.929
121,3394.004
122,3389.741
123,3400.940
124,3399.160
125,3395.015
126,3405.282
127,3401.379
128,3395.415
129,3407.322
130,3402.838
131,3396.972
132,3409.300
133,3405.048
134,3394.853
135,3408.505
136,3407.291
137,3395.618
138,3408.642
139,3409.010
140,3394.155
141,3403.927
142,3404.857
143,3392.136
144,3401.233
145,3402.911
146,3392.412
147,3400.794
148,3404.821
149,3394.783
150,3405.789
151,3409.032
152,3399.031
153,3412.092
154,3415.574
155,3404.708
156,3416.526
157,3417.938
158,3405.271
159,3411.919
160,3409.460
161,3399.689
162,3405.020
163,3404.511
164,3397.617
165,3403.105
166,3402.324
167,3396.750
168,3404.292
169,3403.084
170,3398.103
171,3407.702
172,3405.852
173,3402.204
174,3412.567
175,3411.122
176,3408.825
177,3416.898
178,3416.122
179,3414.290
180,3421.932
181,3421.795
182,3417.840
183,3426.406
184,3428.494
185,3421.494
186,3429.966
187,3431.704
188,3421.870
189,3433.448
190,3433.885
191,3424.262
192,3434.263
193,3435.906
194,3426.809
195,3437.927
196,3437.980
197,3430.662
198,3442.826
199,3442.759
200,3437.521
201,3452.152
202,3451.149
203,3448.356
204,3458.711
205,3457.744
206,3455.594
207,3466.611
208,3465.330
209,3464.389
210,3470.152
