Frame,Mean
1,53804.859
2,53830.945
3,53855.434
4,53881.012
5,53872.508
6,53858.898
7,53849.816
8,53857.445
9,53858.113
10,53860.000
11,53879.344
12,53891.391
13,53898.230
14,53905.668
15,53904.840
16,53898.676
17,53898.129
18,53887.008
19,53873.566
20,53864.105
21,53838.367
22,53818.793
23,53807.094
24,53790.438
25,53777.852
26,53775.000
27,53769.977
28,53769.734
29,53767.957
30,53773.691
31,53778.840
32,53777.176
33,53782.129
34,53785.590
35,53787.008
36,53789.898
37,53791.008
38,53787.043
39,53779.762
40,53774.492
41,53760.641
42,53745.691
43,53736.332
44,53719.160
45,53700.078
46,53684.703
47,53666.551
48,53654.566
49,53641.414
50,53628.480
51,53623.762
52,53618.930
53,53613.422
54,53618.410
55,53617.922
56,53620.094
57,53626.355
58,53633.273
59,53638.863
60,53645.301
61,53650.195
62,53655.402
63,53654.906
64,53658.367
65,53663.008
66,53662.762
67,53662.367
68,53665.816
69,53667.762
70,53668.605
71,53669.082
72,53674.605
73,53676.289
74,53675.414
75,53680.355
76,53686.285
77,53682.410
78,53687.426
79,53694.055
80,53693.227
81,53691.980
82,53697.543
83,53696.402
84,53695.383
85,53699.945
86,53702.531
87,53710.215
88,53717.082
89,53725.957
90,53741.664
91,53755.934
92,53773.414
93,53796.836
94,53813.414
95,53829.227
96,53845.941
97,53858.828
98,53870.910
99,53880.438
100,53876.457
101,53875.574
102,53868.383
103,53847.059
104,53833.988
105,53818.012
106,53785.336
107,53765.359
108,53745.203
109,53717.605
110,53702.555
111,53683.785
112,53669.992
113,53659.930
114,53645.484
115,53642.273
116,53635.711
117,53627.367
118,53629.129
119,53626.000
120,53617.566
121,53619.988
122,53621.055
123,53618.371
124,53622.066
125,53630.551
126,53632.395
127,53636.238
128,53646.254
129,53651.125
130,53658.434
131,53669.254
132,53677.047
133,53690.285
134,53696.664
135,53705.969
136,53721.641
137,53729.953
138,53737.863
139,53754.590
140,53760.312
141,53767.734
142,53783.957
143,53792.645
144,53802.773
145,53814.438
146,53821.469
147,53828.344
148,53840.152
149,53850.551
150,53858.402
151,53866.992
152,53874.230
153,53882.957
154,53885.367
155,53888.957
156,53895.680
157,53892.469
158,53894.824
159,53904.645
160,53893.918
161,53888.922
162,53891.930
163,53881.633
164,53870.680
165,53867.609
166,53855.266
167,53842.348
168,53828.102
169,53812.480
170,53796.605
171,53775.117
172,53759.297
173,53749.793
174,53730.082
175,53717.484
176,53712.898
177,53702.824
178,53702.215
179,53707.227
180,53711.238
181,53726.883
182,53743.863
183,53758.863
184,53780.539
185,53802.609
186,53823.965
187,53848.090
188,53865.426
189,53889.922
190,53910.871
191,53923.785
192,53948.977
193,53965.250
194,53970.422
195,53987.977
196,54007.887
197,54013.633
198,54025.824
199,54035.699
200,54037.129
201,54034.574
202,54038.566
203,54040.906
204,54036.910
205,54024.309
206,54021.172
207,54010.781
208,53994.105
209,53991.516
210,53986.105
211,53972.043
212,53971.309
213,53965.676
214,53959.449
215,53963.238
216,53962.898
217,53967.137
218,53971.367
219,53975.078
220,53977.395
221,53976.805
222,53977.609
223,53978.188
224,53971.652
225,53968.645
226,53964.480
227,53954.895
228,53953.266
229,53946.863
230,53938.164
231,53930.988
232,53928.309
233,53927.117
234,53921.629
235,53924.336
236,53930.125
237,53933.664
238,53944.543
239,53957.848
240,53970.688
241,53985.980
242,53999.793
243,54019.688
244,54034.227
245,54049.941
246,54067.738
247,54079.578
248,54084.762
249,54094.930
250,54097.883
251,54102.781
252,54099.699
253,54100.504
254,54094.277
255,54084.113
256,54074.238
257,54070.578
258,54058.895
259,54048.863
260,54047.176
261,54038.250
262,54033.402
263,54038.812
264,54039.652
265,54038.402
266,54048.324
267,54056.930
268,54063.125
269,54070.496
270,54085.273
271,54094.953
272,54104.586
273,54126.188
274,54138.738
275,54144.852
276,54163.078
277,54174.605
278,54184.785
279,54196.688
280,54209.031
281,54215.750
282,54223.676
283,54233.746
284,54242.918
285,54242.781
286,54247.738
287,54242.836
288,54236.395
289,54225.871
290,54218.426
291,54210.918
292,54197.805
293,54188.723
294,54187.230
295,54174.355
296,54172.555
297,54174.395
298,54176.812
299,54188.918
300,54205.691
301,54224.605
302,54248.484
303,54269.059
304,54296.438
305,54325.137
306,54350.207
307,54379.480
308,54402.781
309,54416.285
310,54437.551
311,54448.609
312,54455.691
313,54467.496
314,54477.113
315,54479.605
316,54486.414
317,54488.898
318,54494.734
319,54502.285
320,54513.551
321,54521.797
322,54532.711
323,54537.840
324,54543.957
325,54550.094
326,54557.578
327,54561.359
328,54568.699
329,54565.633
330,54560.113
331,54556.160
332,54553.492
333,54544.699
334,54544.332
335,54546.977
336,54550.379
337,54546.703
338,54549.137
339,54555.023
340,54557.824
341,54566.410
342,54571.371
343,54579.160
344,54577.504
345,54576.047
346,54585.035
347,54588.410
348,54587.059
349,54599.852
350,54603.348
351,54606.566
352,54617.160
353,54622.230
354,54625.664
355,54637.289
356,54642.941
357,54649.531
358,54646.312
359,54637.934
360,54628.422
361,54615.566
362,54603.633
363,54592.496
364,54564.184
365,54541.055
366,54526.664
367,54498.641
368,54484.012
369,54473.332
370,54454.102
371,54452.020
372,54453.922
373,54460.059
374,54471.957
375,54482.875
376,54501.215
377,54515.031
378,54527.957
379,54548.035
380,54565.836
381,54576.480
382,54589.988
383,54596.242
384,54603.371
385,54609.828
386,54614.562
387,54621.207
388,54618.129
389,54619.992
390,54626.137
391,54631.172
392,54631.043
393,54643.371
394,54651.492
395,54657.492
396,54665.895
397,54681.309
398,54685.750
399,54701.379
400,54715.266
401,54726.078
402,54736.395
403,54744.980
404,54755.426
405,54766.332
406,54767.762
407,54777.254
408,54787.250
409,54793.320
410,54795.457
411,54796.508
412,54801.969
413,54800.836
414,54796.055
415,54800.945
416,54795.605
417,54788.773
418,54795.277
419,54789.277
420,54782.117
421,54777.379
422,54766.762
423,54761.043
424,54757.414
425,54750.773
426,54751.266
427,54748.652
428,54747.355
429,54745.609
430,54740.758
431,54743.562
432,54743.141
433,54735.215
