Frame,Mean
1,54001.477
2,54031.609
3,54057.727
4,54083.430
5,54086.250
6,54078.625
7,54070.902
8,54086.828
9,54094.969
10,54098.195
11,54107.309
12,54111.477
13,54108.695
14,54105.594
15,54104.266
16,54094.543
17,54078.234
18,54064.172
19,54049.980
20,54029.875
21,54008.070
22,53991.012
23,53975.969
24,53957.719
25,53944.121
26,53936.402
27,53925.605
28,53919.539
29,53913.133
30,53907.520
31,53903.625
32,53898.352
33,53893.188
34,53893.500
35,53890.609
36,53883.562
37,53882.438
38,53876.457
39,53864.055
40,53858.078
41,53847.695
42,53826.977
43,53812.633
44,53794.957
45,53773.992
46,53754.480
47,53737.559
48,53723.047
49,53706.598
50,53694.516
51,53692.023
52,53686.125
53,53687.273
54,53697.289
55,53702.977
56,53713.047
57,53730.238
58,53741.520
59,53755.922
60,53769.977
61,53777.539
62,53784.441
63,53790.570
64,53791.824
65,53793.457
66,53793.465
67,53792.375
68,53788.207
69,53788.996
70,53788.410
71,53786.258
72,53789.020
73,53792.582
74,53797.477
75,53804.477
76,53813.059
77,53819.984
78,53825.887
79,53834.746
80,53844.492
81,53842.875
82,53843.598
83,53841.738
84,53832.203
85,53832.625
86,53827.539
87,53818.094
88,53814.398
89,53803.770
90,53798.402
91,53801.082
92,53793.488
93,53792.980
94,53792.145
95,53785.016
96,53787.766
97,53787.531
98,53786.793
99,53792.875
100,53787.566
101,53782.422
102,53783.328
103,53771.863
104,53763.367
105,53759.945
106,53745.953
107,53736.762
108,53734.191
109,53724.379
110,53720.148
111,53717.070
112,53711.191
113,53711.906
114,53709.586
115,53709.234
116,53715.070
117,53715.676
118,53718.328
119,53726.258
120,53723.336
121,53725.188
122,53729.703
123,53724.055
124,53721.000
125,53722.035
126,53716.480
127,53710.059
128,53708.227
129,53704.246
130,53702.953
131,53701.801
132,53703.594
133,53710.176
134,53713.004
135,53720.879
136,53738.609
137,53746.180
138,53759.859
139,53779.867
140,53788.289
141,53805.527
142,53828.855
143,53840.355
144,53859.941
145,53873.887
146,53886.133
147,53897.191
148,53910.859
149,53924.125
150,53936.242
151,53947.906
152,53962.113
153,53975.051
154,53984.699
155,53993.621
156,54004.039
157,54008.359
158,54014.250
159,54020.844
160,54012.020
161,54002.957
162,53999.070
163,53978.902
164,53961.512
165,53944.902
166,53920.125
167,53897.340
168,53870.180
169,53847.867
170,53824.746
171,53795.848
172,53779.434
173,53764.172
174,53742.984
175,53734.777
176,53729.113
177,53720.691
178,53720.723
179,53726.023
180,53731.402
181,53741.918
182,53758.656
183,53777.793
184,53796.168
185,53822.004
186,53844.148
187,53871.898
188,53899.656
189,53925.176
190,53954.133
191,53979.605
192,54001.316
193,54022.320
194,54038.168
195,54054.469
196,54069.508
197,54081.062
198,54094.797
199,54096.625
200,54094.348
201,54096.234
202,54092.918
203,54087.633
204,54085.578
205,54074.922
206,54066.598
207,54056.422
208,54044.953
209,54034.695
210,54027.180
211,54009.473
212,53999.348
213,53992.277
214,53978.785
215,53966.180
216,53964.480
217,53959.098
218,53952.695
219,53960.289
220,53966.711
221,53964.324
222,53972.469
223,53982.820
224,53984.824
225,53987.180
226,53996.523
227,53994.789
228,53995.316
229,53998.215
230,53997.992
231,53982.906
232,53979.539
233,53978.406
234,53962.941
235,53956.332
236,53955.535
237,53946.043
238,53943.031
239,53954.117
240,53961.523
241,53968.645
242,53985.996
243,54006.656
244,54021.852
245,54044.133
246,54068.891
247,54082.727
248,54098.098
249,54117.773
250,54131.566
251,54142.328
252,54148.262
253,54155.109
254,54148.355
255,54144.504
256,54142.312
257,54133.605
258,54122.402
259,54114.441
260,54108.480
261,54096.711
262,54091.398
263,54095.492
264,54093.559
265,54086.270
266,54094.191
267,54097.484
268,54092.441
269,54100.504
270,54109.012
271,54105.461
272,54110.250
273,54120.336
274,54124.004
275,54124.902
276,54134.059
277,54139.676
278,54142.711
279,54143.957
280,54152.523
281,54154.711
282,54157.770
283,54167.285
284,54173.148
285,54170.906
286,54176.426
287,54178.070
288,54174.961
289,54180.059
290,54179.664
291,54176.484
292,54181.902
293,54183.996
294,54187.992
295,54191.902
296,54197.199
297,54204.641
298,54209.316
299,54217.766
300,54231.469
301,54240.355
302,54249.742
303,54263.336
304,54271.477
305,54282.059
306,54292.980
307,54300.672
308,54308.598
309,54312.570
310,54320.926
311,54326.586
312,54326.402
313,54336.344
314,54357.375
315,54361.816
316,54381.453
317,54403.750
318,54423.316
319,54445.832
320,54475.945
321,54505.125
322,54532.953
323,54555.820
324,54576.660
325,54587.031
326,54595.609
327,54608.305
328,54615.520
329,54603.332
330,54593.984
331,54584.391
332,54563.609
333,54549.871
334,54543.316
335,54530.102
336,54523.141
337,54516.344
338,54508.242
339,54513.141
340,54511.738
341,54516.297
342,54522.180
343,54526.418
344,54523.914
345,54526.926
346,54526.645
347,54526.551
348,54524.723
349,54531.559
