Frame,Mean
1,45176.125
2,45177.656
3,45174.543
4,45171.078
5,45176.820
6,45173.457
7,45168.805
8,45164.695
9,45152.523
10,45137.703
11,45143.570
12,45145.332
13,45139.219
14,45131.395
15,45122.762
16,45109.098
17,45094.133
18,45083.621
19,45069.980
20,45056.789
21,45043.004
22,45033.477
23,45022.145
24,45006.906
25,44999.812
26,44993.016
27,44982.715
28,44981.359
29,44975.559
30,44971.305
31,44972.617
32,44970.789
33,44973.969
34,44979.289
35,44985.652
36,44992.996
37,44996.062
38,45006.434
39,45011.332
40,45011.824
41,45019.918
42,45017.711
43,45011.195
44,45013.387
45,45006.125
46,44997.695
47,44993.352
48,44985.938
49,44979.789
50,44975.613
51,44971.711
52,44974.836
53,44977.602
54,44983.156
55,44991.965
56,45002.172
57,45013.145
58,45024.742
59,45039.094
60,45052.766
61,45060.441
62,45072.164
63,45082.305
64,45079.113
65,45080.809
66,45081.258
67,45070.715
68,45062.672
69,45057.980
70,45048.238
71,45035.242
72,45028.012
73,45020.613
74,45010.539
75,45002.383
76,45002.641
77,44999.133
78,44997.223
79,45002.625
80,45006.793
81,45004.000
82,45009.582
83,45014.445
84,45014.219
85,45022.535
86,45024.613
87,45025.492
88,45032.461
89,45032.379
90,45037.461
91,45044.465
92,45040.195
93,45041.035
94,45044.875
95,45041.969
96,45039.219
97,45037.711
98,45036.250
99,45028.984
100,45019.934
101,45017.941
102,45008.805
103,44987.926
104,44979.250
105,44962.234
106,44935.527
107,44918.398
108,44902.414
109,44877.449
110,44859.488
111,44848.621
112,44833.734
113,44821.320
114,44817.203
115,44811.281
116,44806.133
117,44807.793
118,44809.051
119,44806.129
120,44806.586
121,44808.926
122,44809.051
123,44809.156
124,44812.434
125,44814.996
126,44811.031
127,44812.711
128,44818.512
129,44818.191
130,44827.711
131,44840.090
132,44845.066
133,44863.922
134,44881.910
135,44896.273
136,44921.180
137,44940.586
138,44956.953
139,44978.730
140,44996.051
141,45014.156
142,45031.949
143,45045.984
144,45061.582
145,45067.648
146,45075.781
147,45083.172
148,45084.836
149,45091.027
150,45093.523
151,45090.980
152,45091.969
153,45090.996
154,45090.047
155,45091.043
156,45088.004
157,45086.711
158,45081.066
159,45077.812
160,45069.098
161,45055.699
162,45049.418
163,45033.910
164,45015.242
165,45003.973
166,44986.250
167,44962.734
168,44947.336
169,44928.797
170,44902.348
171,44882.605
172,44865.648
173,44847.613
174,44829.172
175,44818.242
