Frame,Mean
1,58592.684
2,58615.531
3,58634.734
4,58654.531
5,58647.887
6,58631.559
7,58620.402
8,58630.711
9,58629.637
10,58629.363
11,58629.215
12,58619.395
13,58607.895
14,58605.629
15,58597.988
16,58584.531
17,58573.191
18,58559.590
19,58545.027
20,58522.934
21,58502.156
22,58479.172
23,58454.266
24,58436.016
25,58415.410
26,58398.832
27,58389.598
28,58378.336
29,58367.391
30,58365.020
31,58361.957
32,58356.859
33,58355.527
34,58355.812
35,58355.566
36,58356.293
37,58359.160
38,58359.613
39,58358.891
40,58355.590
41,58352.230
42,58345.402
43,58336.512
44,58328.047
45,58320.305
46,58303.531
47,58296.117
48,58285.254
49,58274.047
50,58268.062
51,58262.066
52,58257.312
53,58257.406
54,58255.406
55,58258.141
56,58261.418
57,58261.188
58,58269.000
59,58273.559
60,58273.164
61,58275.453
62,58275.539
63,58270.016
64,58269.699
65,58264.012
66,58255.824
67,58251.594
68,58245.961
69,58240.910
70,58239.605
71,58234.172
72,58235.176
73,58240.727
74,58243.395
75,58251.875
76,58260.570
77,58264.395
78,58273.488
79,58282.793
80,58288.695
81,58293.035
82,58291.730
83,58286.742
84,58279.922
85,58270.719
86,58263.758
87,58254.727
88,58240.527
89,58230.328
90,58220.852
91,58213.609
92,58206.574
93,58206.723
94,58200.848
95,58195.934
96,58199.441
97,58198.172
98,58196.504
99,58197.387
100,58190.066
101,58187.086
102,58181.637
103,58169.984
104,58164.141
105,58152.828
106,58138.840
107,58130.031
108,58117.488
109,58106.539
110,58099.027
111,58089.281
112,58085.270
113,58079.562
114,58073.641
115,58077.223
116,58076.273
117,58075.500
118,58082.543
119,58088.602
120,58089.852
121,58100.895
122,58107.746
123,58112.984
124,58121.070
125,58125.965
126,58135.395
127,58138.840
128,58137.129
129,58146.414
130,58149.703
131,58148.590
132,58157.141
133,58159.230
134,58158.395
135,58163.723
136,58167.547
137,58173.582
138,58177.363
139,58181.000
140,58187.781
141,58188.891
142,58193.711
143,58200.156
144,58207.133
145,58210.477
146,58217.824
147,58225.664
148,58233.230
149,58243.520
150,58254.879
151,58265.543
152,58277.008
153,58287.352
154,58299.289
155,58310.867
156,58319.656
157,58327.613
158,58334.797
159,58335.508
160,58330.758
161,58323.824
162,58320.180
163,58310.742
164,58300.562
165,58293.523
166,58278.781
167,58265.891
168,58250.562
169,58236.426
170,58223.059
171,58204.738
172,58192.457
173,58181.934
174,58166.031
175,58158.840
176,58155.375
177,58146.992
178,58145.078
179,58147.395
180,58151.219
181,58160.551
182,58169.906
183,58187.344
184,58203.793
185,58222.211
186,58245.633
187,58270.449
188,58292.879
189,58317.211
190,58343.223
191,58364.195
192,58385.156
193,58403.785
194,58419.492
195,58430.250
196,58444.980
197,58452.898
198,58458.438
199,58468.035
200,58468.523
201,58465.773
202,58470.438
203,58469.523
204,58468.348
205,58463.934
206,58463.953
207,58459.926
208,58456.664
209,58460.199
210,58462.641
211,58453.309
212,58455.113
213,58457.414
214,58454.516
215,58457.473
216,58466.852
217,58469.938
218,58471.066
219,58484.418
220,58496.023
221,58498.820
222,58514.840
223,58526.961
224,58527.598
225,58535.469
226,58543.465
227,58538.984
228,58542.445
229,58544.520
230,58539.441
231,58524.676
232,58514.602
233,58508.902
234,58492.809
235,58479.887
236,58474.758
237,58460.547
238,58448.129
239,58452.402
240,58453.035
241,58452.531
242,58462.812
243,58473.031
244,58481.465
245,58495.523
246,58508.832
247,58521.148
248,58533.508
249,58545.160
250,58553.996
251,58564.254
252,58566.941
253,58574.277
254,58576.406
255,58572.820
256,58575.648
257,58573.867
258,58572.391
259,58575.652
260,58573.629
261,58573.473
262,58575.012
263,58576.844
264,58583.332
265,58583.977
266,58590.738
267,58597.621
268,58593.066
269,58599.691
270,58606.062
271,58601.414
272,58609.105
273,58617.449
274,58616.598
275,58623.004
276,58634.336
277,58639.754
278,58651.277
279,58660.988
280,58671.273
281,58676.844
282,58685.012
283,58696.383
284,58705.316
285,58711.371
286,58721.613
287,58721.844
288,58721.766
289,58727.184
290,58728.047
291,58725.996
292,58732.730
293,58736.035
294,58738.371
295,58744.617
296,58748.441
297,58752.508
298,58759.480
299,58762.289
300,58770.180
301,58779.422
302,58778.676
303,58786.129
304,58789.664
305,58791.098
306,58797.301
307,58797.750
308,58799.559
309,58802.180
310,58805.539
311,58812.922
312,58817.113
313,58828.488
314,58852.023
315,58864.219
316,58889.160
317,58919.402
318,58946.996
319,58980.117
320,59017.996
321,59054.992
322,59093.570
323,59123.105
324,59152.344
325,59170.598
326,59184.957
327,59201.625
328,59209.629
329,59199.832
330,59188.477
331,59173.465
332,59154.262
333,59130.875
334,59112.832
335,59094.012
336,59072.738
337,59055.641
338,59040.004
339,59032.605
340,59024.586
341,59021.648
342,59023.273
343,59022.148
344,59018.840
345,59022.188
346,59027.281
347,59032.066
348,59036.387
349,59048.152
350,59059.945
351,59066.125
