Frame,Mean
1,11494.406
2,11747.880
3,11983.873
4,11522.026
5,11426.267
6,11130.720
7,11506.146
8,11680.707
9,11579.073
10,11633.047
11,11744.507
12,11945.547
13,11957.474
14,12151.606
15,12148.793
16,12382.233
17,12461.173
18,12343.514
19,12811.333
20,12778.946
21,12419.707
22,12571.533
23,12416.434
24,12205.627
25,12144.733
26,12011.287
27,11840.547
28,11490.700
29,11442.173
30,11390.980
31,11106.014
32,11159.467
33,11062.980
34,10869.167
35,10988.787
36,10901.866
37,10924.373
38,11070.087
39,10948.993
40,11332.486
41,11255.946
42,11128.313
43,11761.993
44,11501.540
45,11460.667
46,12222.420
47,11965.986
48,11913.307
49,12213.247
50,12021.180
51,12020.373
52,11912.094
53,11940.213
54,11926.446
55,11570.720
56,11659.967
57,11568.620
58,11289.587
59,11347.854
60,11239.467
61,11271.767
62,11300.873
63,11204.600
64,11498.066
65,11598.873
66,11806.453
67,12069.140
68,12189.946
69,12407.193
70,12360.566
71,12614.340
72,12880.033
73,12468.040
74,12790.673
75,12774.727
76,12326.526
77,12535.880
78,12487.380
79,11937.887
80,12049.073
81,12025.366
82,11779.800
83,11875.820
84,12091.460
85,11708.613
86,12017.094
87,12648.733
88,12301.813
89,12583.427
90,13315.020
91,12768.446
92,13060.587
93,13648.526
94,13475.260
95,13569.713
96,13758.040
97,13782.134
98,13740.446
99,13735.787
100,14151.913
101,13872.953
102,13550.460
103,14190.440
104,13778.360
105,13187.007
106,13944.087
107,13603.993
108,13098.280
109,13712.520
110,13474.673
111,13099.227
112,13417.193
113,13390.400
114,13116.760
115,13176.566
116,13087.880
117,13013.227
118,12965.920
119,12907.227
120,12827.974
121,12789.813
122,12574.953
123,12574.813
124,12561.600
125,12421.667
126,12434.827
127,12487.660
128,12351.547
129,12521.293
130,12252.646
131,12323.060
132,12648.986
133,12068.240
134,12256.233
135,12742.967
136,11957.060
137,12319.600
138,12771.080
139,11987.427
140,12384.287
141,12883.713
142,12120.273
143,12527.134
144,12864.640
145,12450.434
146,12842.566
147,13066.200
148,12563.080
149,12781.460
150,12836.040
151,12528.993
152,12608.047
153,12622.900
154,12251.474
155,12085.667
156,12054.220
157,11983.054
158,11807.087
159,11829.000
160,12114.566
161,11912.680
162,11714.140
163,12411.740
164,12218.514
165,11678.134
166,12565.380
167,12346.373
168,11610.187
169,12464.634
170,12235.360
171,11527.900
172,12220.646
173,12033.320
174,11546.873
175,11731.807
176,11599.100
177,11369.020
178,11093.354
179,11262.733
180,11466.146
181,10524.894
182,10955.986
183,11589.713
184,10365.033
185,11083.687
186,12321.106
187,10743.400
188,11544.333
189,12862.480
190,11760.900
191,12369.807
192,13413.207
193,12967.707
194,13033.526
195,13449.560
196,13701.780
197,13539.980
198,13083.894
199,13849.287
200,13470.960
201,12354.047
202,13359.207
203,13160.986
204,12108.707
205,12994.827
206,12963.227
207,12284.554
208,12977.193
209,13106.953
210,12855.247
211,13205.547
212,13356.920
213,13447.453
214,13463.160
215,13617.033
216,13812.387
217,13438.720
218,13430.280
219,13754.267
220,13437.807
221,13373.646
222,13553.680
223,13196.507
224,13002.787
225,13043.953
226,12991.307
227,12845.840
228,12757.493
229,12901.587
230,12721.220
231,12524.653
232,12630.153
233,12598.387
234,12611.847
235,12604.240
236,12707.653
237,13056.007
238,12796.860
239,13029.054
240,13534.660
241,13063.153
242,13395.260
243,13937.440
244,13442.913
245,13804.134
246,14079.394
247,13847.427
248,14259.927
249,14324.934
250,14434.913
251,14696.060
252,14548.320
253,14730.073
254,14663.140
255,14291.100
256,14596.733
257,14474.047
258,14158.627
259,14355.187
260,14342.627
261,14250.400
262,13986.020
263,14180.854
264,14338.673
265,13984.240
266,14362.946
267,14641.873
268,14078.526
269,14311.193
270,14686.167
271,14255.840
272,14388.900
273,14744.446
274,14402.113
275,14429.953
276,14834.094
277,14529.866
278,14617.014
279,14941.634
280,14693.300
281,14623.140
282,14848.620
283,14841.580
284,14674.087
285,14538.974
286,14732.693
287,14392.866
288,14010.060
289,14472.366
290,14040.080
291,13567.526
292,13868.427
293,13614.707
294,13382.434
295,13290.927
296,13388.400
297,13639.974
298,12965.840
299,13314.440
300,13914.193
301,12899.420
302,13437.713
303,14114.673
304,12983.807
305,13557.627
306,14258.733
307,13324.580
308,14056.747
309,14595.446
310,13719.960
311,14425.300
312,14928.974
313,14365.207
314,15098.460
315,15677.606
316,15165.986
317,15410.713
318,15853.946
319,15592.287
320,15717.900
321,16122.054
322,15612.526
323,15408.187
324,15440.634
325,15179.094
326,15046.373
327,14843.960
328,14372.453
329,14248.993
330,13879.667
331,13806.986
332,13894.854
333,13431.560
334,13368.020
335,13410.787
336,13089.054
337,13470.873
338,13515.406
339,13483.866
340,13769.620
341,13760.873
342,13972.793
343,14226.486
344,14129.640
345,14359.153
346,14516.740
347,14425.180
348,14581.554
349,14486.394
350,14438.653
351,14634.106
352,14265.934
353,14370.913
354,14456.026
355,13692.300
356,13876.094
357,13991.854
358,13654.287
359,13713.413
360,13621.566
361,13538.033
362,13614.434
363,13626.693
364,14369.273
365,14204.440
366,14097.733
367,15003.820
368,14719.980
369,14726.793
370,15632.566
371,15436.986
372,15661.460
373,15783.087
374,15832.793
375,16161.747
376,15497.120
377,15639.080
378,15948.387
379,15245.900
380,15416.780
381,15640.153
382,14991.313
383,14950.153
384,14850.180
385,14843.894
386,14859.813
387,14566.080
388,14674.300
389,14660.026
390,14536.740
391,14470.260
392,14520.993
393,14679.906
394,14187.913
395,14444.113
396,14623.787
397,14073.866
398,14312.673
399,14439.507
400,14081.807
401,14298.894
402,14209.220
403,14271.807
404,14337.974
405,14385.667
406,14694.673
407,14688.047
408,14863.320
409,14815.474
410,14784.400
411,14882.627
412,14660.620
413,14716.820
414,14854.280
415,14550.440
416,14663.634
417,14608.953
418,14092.507
419,14197.813
420,14064.946
421,13692.253
422,13820.313
423,13854.946
424,13404.894
425,13379.220
426,13565.400
427,13113.486
428,13221.594
429,13421.094
430,13341.467
431,13598.240
432,13974.900
433,14265.573
434,14619.660
435,14943.493
436,15350.140
437,15685.260
438,16154.953
439,16393.393
440,16606.061
441,16922.426
442,16813.961
443,16769.846
444,17091.547
445,16879.354
446,16727.594
447,16720.854
448,16591.107
449,16350.807
450,16346.474
451,16526.066
452,16361.880
453,16294.673
454,16474.881
455,16530.346
456,16477.107
457,16590.533
458,16720.580
459,16385.486
460,16650.320
461,16581.840
462,16166.007
463,16284.113
464,16096.974
465,15708.446
466,16090.847
467,15829.554
468,15663.474
469,15865.333
470,15744.927
471,16006.467
472,15755.913
473,15950.900
474,16380.134
475,15575.153
476,15859.213
477,16227.720
478,15121.106
479,15432.413
480,15720.613
481,14842.420
482,14852.453
483,15170.047
484,14568.606
485,14596.554
486,14493.134
487,14612.680
488,14521.880
489,14462.313
490,15067.927
491,15145.400
